data_iniSE,casos_41007,casos_41008,casos_41009,casos_41010,casos_41020
2018-02-11,4.0,16.0,48.666666666666664,29.666666666666668,24.666666666666668
2018-02-18,4.0,16.333333333333332,37.0,26.333333333333332,18.0
2018-02-25,4.666666666666667,17.666666666666668,35.333333333333336,22.0,18.0
2018-03-04,4.333333333333333,15.666666666666666,45.333333333333336,24.333333333333332,18.0
2018-03-11,3.6666666666666665,16.333333333333332,54.666666666666664,21.666666666666668,19.666666666666668
2018-03-18,1.3333333333333333,16.666666666666668,54.0,23.0,21.333333333333332
2018-03-25,1.3333333333333333,18.666666666666668,50.0,19.666666666666668,18.333333333333332
2018-04-01,2.0,20.0,55.0,25.333333333333332,18.0
2018-04-08,3.3333333333333335,19.666666666666668,77.0,26.333333333333332,17.333333333333332
2018-04-15,4.0,19.666666666666668,87.66666666666667,29.333333333333332,19.0
2018-04-22,3.0,15.0,89.66666666666667,26.0,19.666666666666668
2018-04-29,1.3333333333333333,10.333333333333334,80.33333333333333,23.0,22.0
2018-05-06,1.3333333333333333,8.666666666666666,75.66666666666667,22.0,21.666666666666668
2018-05-13,1.0,7.333333333333333,62.333333333333336,19.666666666666668,16.666666666666668
2018-05-20,1.3333333333333333,6.0,46.666666666666664,16.666666666666668,9.333333333333334
2018-05-27,0.6666666666666666,2.6666666666666665,32.666666666666664,10.666666666666666,5.333333333333333
2018-06-03,1.0,1.0,26.0,8.0,3.6666666666666665
2018-06-10,0.6666666666666666,0.6666666666666666,22.0,6.666666666666667,2.6666666666666665
2018-06-17,0.3333333333333333,1.6666666666666667,23.0,8.0,5.333333333333333
2018-06-24,0.0,2.0,30.333333333333332,8.0,7.0
2018-07-01,0.0,2.6666666666666665,38.333333333333336,9.666666666666666,8.0
2018-07-08,0.0,1.6666666666666667,41.666666666666664,8.0,7.0
2018-07-15,0.0,2.3333333333333335,37.666666666666664,9.333333333333334,7.333333333333333
2018-07-22,0.0,2.3333333333333335,30.0,8.666666666666666,6.333333333333333
2018-07-29,0.3333333333333333,3.3333333333333335,26.333333333333332,7.333333333333333,5.0
2018-08-05,1.3333333333333333,3.3333333333333335,24.0,3.6666666666666665,3.6666666666666665
2018-08-12,1.3333333333333333,3.3333333333333335,26.0,3.0,4.0
2018-08-19,1.0,2.0,21.666666666666668,2.3333333333333335,2.6666666666666665
2018-08-26,0.0,1.3333333333333333,21.666666666666668,4.0,2.6666666666666665
2018-09-02,0.0,1.6666666666666667,18.0,4.333333333333333,3.3333333333333335
2018-09-09,0.6666666666666666,2.3333333333333335,20.666666666666668,6.333333333333333,5.333333333333333
2018-09-16,0.6666666666666666,2.3333333333333335,26.333333333333332,6.0,5.666666666666667
2018-09-23,1.0,1.6666666666666667,26.666666666666668,8.0,7.0
2018-09-30,0.3333333333333333,2.3333333333333335,30.666666666666668,7.666666666666667,7.333333333333333
2018-10-07,0.3333333333333333,2.0,27.0,7.0,6.666666666666667
2018-10-14,1.3333333333333333,4.666666666666667,35.0,5.666666666666667,6.333333333333333
2018-10-21,1.6666666666666667,6.333333333333333,44.0,5.666666666666667,5.666666666666667
2018-10-28,2.3333333333333335,9.666666666666666,52.0,8.0,8.0
2018-11-04,1.3333333333333333,9.333333333333334,60.666666666666664,8.0,10.333333333333334
2018-11-11,1.6666666666666667,9.666666666666666,60.666666666666664,8.333333333333334,13.0
2018-11-18,1.6666666666666667,10.0,58.666666666666664,7.333333333333333,13.333333333333334
2018-11-25,2.0,9.0,53.666666666666664,10.333333333333334,12.333333333333334
2018-12-02,1.3333333333333333,9.666666666666666,56.0,11.666666666666666,12.0
2018-12-09,2.0,7.0,58.666666666666664,12.666666666666666,11.0
2018-12-16,1.6666666666666667,9.0,59.333333333333336,12.333333333333334,8.333333333333334
2018-12-23,2.3333333333333335,6.666666666666667,50.333333333333336,10.0,5.0
2018-12-30,1.6666666666666667,7.333333333333333,60.0,12.666666666666666,13.333333333333334
