date,temp_med_41007,temp_med_41008,temp_med_41009,temp_med_41010,temp_med_41020
2010-01-17,22.63344476190476,24.2623708994709,26.315641622574955,24.50767682539683,25.94852619047619
2010-01-24,22.310488253968256,23.83317971781305,25.840116402116404,24.128510285714285,25.55421984126984
2010-01-31,21.892927301587303,23.336393121693117,25.282331746031748,23.556058476190476,24.99031349206349
2010-02-07,22.999330793650795,24.57772680776014,26.69724920634921,24.754930476190477,26.357255291005288
2010-02-14,23.31041047619048,24.881250264550264,26.86290158730159,24.915139238095236,26.45087195767196
2010-02-21,23.437818730158735,24.945544091710758,26.7477582010582,24.96894457142857,26.37528888888889
2010-02-28,22.187790793650795,23.598332098765436,25.368871957671956,23.734373523809523,25.178026984126983
2010-03-07,21.560121904761903,23.090643386243386,25.12742380952381,23.375705714285715,25.014769841269842
2010-03-14,21.0878746031746,22.780540740740737,25.087052910052908,23.341533714285713,25.130888359788358
2010-03-21,21.177330793650793,22.895760493827158,25.242996296296297,23.503317523809525,25.179107142857145
2010-03-28,21.22777333333333,22.789308112874778,24.98649788359788,23.50669352380952,25.04876587301587
2010-04-04,21.082650476190476,22.63084126984127,24.792468253968252,23.223102285714287,24.772469047619044
2010-04-11,19.226584761904764,20.72226402116402,22.87833650793651,21.411480761904766,23.09179312169312
2010-04-18,18.561927936507935,20.10549700176367,22.373304232804234,20.781808,22.540321164021165
2010-04-25,18.114704444444442,19.558550440917106,21.78683650793651,20.43011523809524,22.134287037037037
2010-05-02,18.3209873015873,19.673477954144623,21.859014814814817,20.66679542857143,22.212892063492063
2010-05-09,17.38922253968254,18.638532098765435,20.705322222222225,19.76724857142857,21.15248941798942
2010-05-16,15.46942793650794,16.559098236331568,18.365889947089947,17.486806666666666,18.727584656084655
2010-05-23,14.69675015873016,15.711284479717813,17.206278306878307,16.36003714285714,17.409619576719578
2010-05-30,14.355385714285715,15.369029453262788,16.761574603174605,15.885600380952381,16.95908888888889
2010-06-06,13.942421904761906,15.028232627865961,16.46603544973545,15.614361904761902,16.687041534391533
2010-06-13,13.119486984126985,14.41000511463845,16.28749841269841,15.106765142857142,16.473294708994707
2010-06-20,13.693040952380953,15.031919929453265,17.0463253968254,15.733471999999999,17.058236772486772
2010-06-27,14.798153015873014,16.143056437389774,18.374986243386243,17.12537695238095,18.545841798941797
2010-07-04,15.972712063492063,17.3652532627866,19.58111851851852,18.376170285714284,19.787738095238097
2010-07-11,15.883841587301589,17.356728395061733,19.72195873015873,18.45559180952381,20.046992063492066
2010-07-18,13.93958888888889,15.341346560846562,17.269650264550265,16.333369904761906,17.63279708994709
2010-07-25,13.71835142857143,14.64259171075838,16.048560317460318,15.749654666666666,16.639058994708996
2010-08-01,13.31091111111111,14.05851111111111,15.185633333333334,15.297768,15.978267195767197
2010-08-08,13.566129206349208,14.187350793650793,15.538834391534392,15.530029333333331,16.250397354497355
2010-08-15,13.077039682539683,14.017507054673722,15.603193121693122,15.291488571428571,16.248375925925924
2010-08-22,12.719732698412699,13.859498412698414,15.66011746031746,14.92274,16.087159788359788
2010-08-29,15.927144444444444,17.453631040564375,19.494198941798942,18.280568761904764,19.709513492063493
2010-09-05,17.89983396825397,19.448723985890656,21.47352804232804,20.30306857142857,21.77029656084656
2010-09-12,19.110667619047618,20.669519929453262,22.622284126984127,21.417228952380952,22.814208465608463
2010-09-19,18.337530158730157,19.597616402116405,21.409056613756615,20.54721561904762,21.86746587301587
2010-09-26,18.352121587301585,19.65817019400353,21.585678306878307,20.582720380952384,21.95028835978836
2010-10-03,18.214344444444443,19.298257495590832,20.924966666666666,20.371847619047617,21.544352380952386
2010-10-10,17.624004126984122,18.91820758377425,20.605249735449735,19.763092571428572,21.021712169312167
2010-10-17,17.10971206349206,18.390437037037042,20.17783756613757,19.08108838095238,20.45103835978836
2010-10-24,17.133837460317462,18.507280423280424,20.568168253968256,19.231881142857144,20.750461375661377
2010-10-31,17.719574285714287,19.06423492063492,21.188057142857144,19.920764571428574,21.4538126984127
2010-11-07,17.540895555555554,18.927852380952384,21.03204021164021,19.896358666666668,21.354034656084654
2010-11-14,17.78076857142857,19.18154338624339,21.350307936507935,20.194189523809523,21.72323386243386
2010-11-21,18.054151111111114,19.483005996472667,21.57073439153439,20.393869714285714,21.820393915343914
2010-11-28,19.097143174603175,20.425224691358025,22.420620105820106,21.286598476190477,22.623824603174608
2010-12-05,19.963993015873015,21.303041446208113,23.253514814814817,22.018384952380956,23.39773121693122
2010-12-12,20.899595238095237,22.32114656084656,24.435932804232806,23.00972438095238,24.529378835978836
2010-12-19,20.237023174603173,21.812482716049384,23.961268783068785,22.379726857142856,23.945453968253968
2010-12-26,20.622656825396827,22.232754320987652,24.284315343915342,22.674502857142855,24.101058201058198
2011-01-02,20.689978412698412,22.20467654320988,24.061325396825396,22.495643428571427,23.846114814814815
2011-01-09,21.99065619047619,23.443849029982363,25.361008465608464,23.660228190476193,25.127407407407407
2011-01-16,22.02285587301587,23.52387760141094,25.569751322751326,23.737580190476194,25.276734126984127
2011-01-23,22.162343492063496,23.685154144620814,25.758108465608462,23.883843809523814,25.417865873015874
2011-01-30,22.53845238095238,24.042323280423286,26.09391798941799,24.263352761904766,25.731187566137564
2011-02-06,22.557960317460317,24.059747795414467,26.08425343915344,24.301628000000004,25.81421455026455
2011-02-13,22.200099047619045,23.59914144620811,25.51010105820106,23.764853714285717,25.232175396825397
2011-02-20,21.6371326984127,23.070393474426808,24.960455026455026,23.271606666666667,24.784167724867725
