date,temp_med_41007,temp_med_41008,temp_med_41009,temp_med_41010,temp_med_41020
2010-01-17,22.590862423280424,24.215022558495004,26.254771329805994,24.490762841904765,25.7466704664903
2010-01-24,22.20349381904762,23.67898901763668,25.70329782010582,24.058085013333336,25.295978486772487
2010-01-31,21.876530057142855,23.25875675837742,25.18147543915344,23.552341588571434,24.767102952380952
2010-02-07,23.129555866666664,24.60681388536155,26.609678708994707,24.848584777142857,26.17175609259259
2010-02-14,23.234814285714283,24.726156328042332,26.633063894179895,24.842951358095238,26.12648346825397
2010-02-21,23.42938758412698,24.89110869488536,26.681602317460317,24.971910095238098,26.17510883862434
2010-02-28,21.898585885714283,23.280732296296296,25.101979502645502,23.493556140952382,24.762064015873012
2010-03-07,21.54043218095238,23.07222643915344,25.11045986243386,23.37518686857143,24.83331131216931
2010-03-14,21.01115365714286,22.646816119929454,24.865550164021162,23.252057159999996,24.837972735449735
2010-03-21,21.199618193650796,22.853164469135802,25.067365116402115,23.471211350476192,24.939248137566135
2010-03-28,20.969161644444444,22.42296735273369,24.515107068783067,23.166695285714287,24.51473083333333
2010-04-04,21.009247780952382,22.507801276895943,24.659999746031747,23.120173440000002,24.508455097883598
2010-04-11,19.146203739682537,20.610959222222224,22.792456962962962,21.334951982857145,22.862211367724868
2010-04-18,18.8110566,20.32749050617284,22.530998682539686,21.02719951047619,22.58513241005291
2010-04-25,17.955294171428573,19.333808559082893,21.57294464021164,20.313279066666666,21.85305053968254
2010-05-02,18.16318592063492,19.50081135802469,21.711581714285714,20.596165396190475,22.037141116402115
2010-05-09,17.00043734761905,18.20005433068783,20.39357738095238,19.465695833333335,20.81347557936508
2010-05-16,15.17895701746032,16.261312541446205,18.103676042328043,17.229272643809523,18.399227564814815
2010-05-23,14.389459747619048,15.341260472663139,16.878439412698413,16.047862967619047,16.99085705820106
2010-05-30,14.045716415873017,15.049071880070548,16.496855391534393,15.607858859999999,16.577569933862435
2010-06-06,13.58820885936508,14.616175852733685,16.10672612962963,15.255444984761903,16.219788317460317
2010-06-13,12.87501658952381,14.13213457319224,16.04939333068783,14.912430063809522,16.179618720899473
2010-06-20,13.70608110063492,14.99421293738977,17.05428838888889,15.86429383142857,17.09203348015873
2010-06-27,14.922287042857143,16.24400326102293,18.542843134920634,17.402190500952383,18.756603747354497
2010-07-04,16.173610973015872,17.525097793650797,19.768851055555555,18.669434416190473,19.99229873412698
2010-07-11,15.902367314285714,17.31086273897707,19.617860843915345,18.48056295142857,19.930430038359788
2010-07-18,13.661656041587301,14.974253982186946,16.909761873544976,16.025646339999998,17.2237572015873
2010-07-25,13.201089940000001,14.017977658201056,15.521369918518518,15.265335558095238,16.091390833862434
2010-08-01,12.866525976507937,13.529760980952382,14.83049574920635,14.923773163809523,15.605866345767195
2010-08-08,13.274748939682539,13.80395825255732,15.25999078042328,15.310092273142857,15.989204528306876
2010-08-15,12.872382653333334,13.722930959611993,15.377509015873017,15.112412853142859,15.98578867910053
2010-08-22,12.592040018412698,13.67546096931217,15.468029822751324,14.806601463619048,15.84725066851852
2010-08-29,16.045726154920633,17.483996829276894,19.451684166666666,18.455742164761904,19.73637216534392
2010-09-05,17.726558584126987,19.126615558201056,21.00222598941799,20.12863791142857,21.437648876984127
2010-09-12,18.6930041968254,20.059769950617284,21.911201706349203,21.02396681904762,22.270124939153437
2010-09-19,17.75425046190476,18.84885740388007,20.606182044973547,19.947536891428573,21.108576936507937
2010-09-26,17.656792592063493,18.893381216931214,20.890958873015872,19.942281384761905,21.199609227513225
2010-10-03,17.56718386507936,18.56300404761905,20.217630402116402,19.605297910476192,20.631368817460316
2010-10-10,17.094117436507936,18.346140379188714,20.068659084656087,19.123623291428572,20.237231722222223
2010-10-17,16.94094157936508,18.21282757319224,19.9944183968254,18.81984042857143,20.02799410582011
2010-10-24,17.18586640952381,18.54766923985891,20.60220277248677,19.25153782285714,20.62723361640212
2010-10-31,17.908685122222224,19.190879532627864,21.24456516402116,19.99731332190476,21.380758399470903
2010-11-07,18.174679192063493,19.46656639329806,21.428227735449735,20.331627306666668,21.622889666666666
2010-11-14,18.448274333333334,19.78142096472663,21.84283519047619,20.71459081904762,22.08581394973545
2010-11-21,18.798220685714288,20.181701924162258,22.187279925925925,21.05125498857143,22.34973253174603
2010-11-28,19.717408361904763,20.984219257495592,22.89988688888889,21.819538624761904,22.999836436507934
2010-12-05,20.271214358730155,21.53178314814815,23.38503453968254,22.212046240000003,23.425609859788363
2010-12-12,20.942809958730155,22.23465366137566,24.236901063492066,22.86950740190476,24.192385526455027
2010-12-19,20.208113893650793,21.69255945855379,23.74878725396825,22.179851256190474,23.58192001058201
2010-12-26,20.84480254126984,22.37248897530864,24.29144295238095,22.692094237142857,23.928344920634924
2011-01-02,21.136855131746028,22.638808850088182,24.40776137566138,22.843732404761905,24.012864375661376
2011-01-09,22.427801104761908,23.84956907936508,25.69328458201058,24.033174611428574,25.287771391534392
2011-01-16,22.42641598095238,23.913118324514993,25.91472134920635,24.119526213333334,25.4816487037037
2011-01-23,22.37350097142857,23.863124299823635,25.8665713015873,24.05041170476191,25.389424862433867
2011-01-30,22.67340017777778,24.112992232804235,26.006049015873014,24.296216285714284,25.53876995238095
2011-02-06,22.620656130158732,24.027126197530862,25.872632915343917,24.229343881904764,25.46154395767196
2011-02-13,22.522749206349204,23.834016234567898,25.57225592063492,23.943519927619047,25.108460560846563
2011-02-20,22.11239318730159,23.496958178130512,25.314943402116402,23.685931937142858,24.918160642857146
